Date, Place, Count 
1584498944750, China, 81
1584498944750, Italy, 31
1584498944750, Iran, 16
1584498944750, Spain, 11
1584498944750, Germany, 9
1584498944750, South Korea, 8
1584498944750, France, 7
1584498944750, US, 6
1584498944750, Switzerland, 2
1584498944750, United Kingdom, 1
1584498944750, Netherlands, 1
1584498944750, Norway, 1
1584498944750, Austria, 1
1584498944750, Belgium, 1
1584498944750, Sweden, 1
1584498944750, Denmark, 1
1584498944750, Japan, 878
1584498944750, Cruise Ship, 696
1584498944750, Malaysia, 673
1584498944750, Canada, 478
1584498944750, Australia, 452
1584498944750, Portugal, 448
1584498944750, Qatar, 439
1584498944750, Czechia, 396
1584498944750, Greece, 387
1584498944750, Israel, 337
1584498944750, Finland, 321
1584498944750, Brazil, 321
1584498944750, Slovenia, 275
1584498944750, Singapore, 266
1584498944750, Poland, 238
1584498944750, Pakistan, 236
1584498944750, Bahrain, 228
1584498944750, Estonia, 225
1584498944750, Ireland, 223
1584498944750, Iceland, 220
1584498944750, Chile, 201
1584498944750, Egypt, 196
1584498944750, Philippines, 187
1584498944750, Romania, 184
1584498944750, Thailand, 177
1584498944750, Indonesia, 172
1584498944750, Saudi Arabia, 171
1584498944750, Iraq, 154
1584498944750, India, 142
1584498944750, Luxembourg, 140
1584498944750, Kuwait, 130
1584498944750, Lebanon, 120
1584498944750, Peru, 117
1584498944750, Russia, 114
1584498944750, San Marino, 109
1584498944750, United Arab Emirates, 98
1584498944750, Mexico, 82
1584498944750, Armenia, 78
1584498944750, Taiwan*, 77
1584498944750, Slovakia, 72
1584498944750, Panama, 69
1584498944750, Argentina, 68
1584498944750, Bulgaria, 67
1584498944750, Vietnam, 66
1584498944750, Colombia, 65
1584498944750, Serbia, 65
1584498944750, Croatia, 65
1584498944750, South Africa, 62
1584498944750, Algeria, 60
1584498944750, Ecuador, 58
1584498944750, Brunei, 56
1584498944750, Albania, 55
1584498944750, Hungary, 50
1584498944750, Latvia, 49
1584498944750, Turkey, 47
1584498944750, Cyprus, 46
1584498944750, Sri Lanka, 44
1584498944750, Costa Rica, 41
1584498944750, Andorra, 39
1584498944750, Morocco, 38
1584498944750, Malta, 38
1584498944750, Belarus, 36
1584498944750, Georgia, 34
1584498944750, Jordan, 34
1584498944750, Cambodia, 33
1584498944750, Venezuela, 33
1584498944750, Kazakhstan, 33
1584498944750, Moldova, 30
1584498944750, Uruguay, 29
1584498944750, Azerbaijan, 28
1584498944750, Bosnia and Herzegovina, 26
1584498944750, North Macedonia, 26
1584498944750, Senegal, 26
1584498944750, Lithuania, 25
1584498944750, Oman, 24
1584498944750, Tunisia, 24
1584498944750, Afghanistan, 22
1584498944750, Dominican Republic, 21
1584498944750, Martinique, 16
1584498944750, Burkina Faso, 15
1584498944750, Ukraine, 14
1584498944750, Maldives, 13
1584498944750, New Zealand, 12
1584498944750, Jamaica, 12
1584498944750, Bolivia, 11
1584498944750, French Guiana, 11
1584498944750, Cameroon, 10
1584498944750, Bangladesh, 10
1584498944750, Uzbekistan, 10
1584498944750, Reunion, 9
1584498944750, Paraguay, 9
1584498944750, Honduras, 8
1584498944750, Monaco, 7
1584498944750, Rwanda, 7
1584498944750, Ghana, 7
1584498944750, Liechtenstein, 7
1584498944750, Guyana, 7
1584498944750, Guatemala, 6
1584498944750, Ethiopia, 5
1584498944750, Mongolia, 5
1584498944750, Cuba, 5
1584498944750, Cote d'Ivoire, 5
1584498944750, Trinidad and Tobago, 5
1584498944750, Seychelles, 4
1584498944750, Aruba, 3
1584498944750, Guam, 3
1584498944750, Kenya, 3
1584498944750, Nigeria, 3
1584498944750, Congo (Kinshasa), 3
1584498944750, Saint Lucia, 2
1584498944750, Montenegro, 2
1584498944750, Namibia, 2
1584498944750, Kosovo, 2
1584498944750, Barbados, 2
1584498944750, The Gambia, 1
1584498944750, Guinea, 1
1584498944750, Liberia, 1
1584498944750, Tanzania, 1
1584498944750, Gabon, 1
1584498944750, Greenland, 1
1584498944750, Congo (Brazzaville), 1
1584498944750, Saint Vincent and the Grenadines, 1
1584498944750, Somalia, 1
1584498944750, Benin, 1
1584498944750, Togo, 1
1584498944750, Central African Republic, 1
1584498944750, The Bahamas, 1
1584498944750, Antigua and Barbuda, 1
1584498944750, Eswatini, 1
1584498944750, Bhutan, 1
1584498944750, Sudan, 1
1584498944750, Nepal, 1
1584498944750, Suriname, 1
1584498944750, Holy See, 1
1584498944750, Mauritania, 1
1584498944750, Mayotte, 1
1584498944750, Equatorial Guinea, 1
